id,shop_id,name,description,price,image_url
1,1,Áo thun nam CANIFA ngắn tay cổ tròn form thường chất cotton 329,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,99000,https://picsum.photos/seed/shopee_1/400/400
2,2,Áo phông nam nữ tay ngắn cổ tròn form rộng vải dạ quang 871,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,120000,https://picsum.photos/seed/shopee_2/400/400
3,3,Quần Jean Nam Ống Rộng Cao Cấp Trẻ Trung 113,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,185000,https://picsum.photos/seed/shopee_3/400/400
4,4,Giày Thể Thao Sneaker Nam Nữ 741,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,250000,https://picsum.photos/seed/shopee_4/400/400
5,5,Tai nghe không dây Bluetooth 5.0 327,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,310000,https://picsum.photos/seed/shopee_5/400/400
6,6,Ốp lưng iPhone 13 14 15 Pro Max 794,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,55000,https://picsum.photos/seed/shopee_6/400/400
7,7,Balo thời trang nam nữ Unisex 182,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,150000,https://picsum.photos/seed/shopee_7/400/400
8,8,Đồng hồ nam nữ dây da chống nước 280,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,450000,https://picsum.photos/seed/shopee_8/400/400
9,1,Áo thun nam CANIFA ngắn tay cổ tròn form thường chất cotton 382,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,99000,https://picsum.photos/seed/shopee_9/400/400
10,2,Áo phông nam nữ tay ngắn cổ tròn form rộng vải dạ quang 507,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,120000,https://picsum.photos/seed/shopee_10/400/400
11,3,Quần Jean Nam Ống Rộng Cao Cấp Trẻ Trung 530,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,185000,https://picsum.photos/seed/shopee_11/400/400
12,4,Giày Thể Thao Sneaker Nam Nữ 601,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,250000,https://picsum.photos/seed/shopee_12/400/400
13,5,Tai nghe không dây Bluetooth 5.0 630,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,310000,https://picsum.photos/seed/shopee_13/400/400
14,6,Ốp lưng iPhone 13 14 15 Pro Max 581,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,55000,https://picsum.photos/seed/shopee_14/400/400
15,7,Balo thời trang nam nữ Unisex 149,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,150000,https://picsum.photos/seed/shopee_15/400/400
16,8,Đồng hồ nam nữ dây da chống nước 881,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,450000,https://picsum.photos/seed/shopee_16/400/400
17,1,Áo thun nam CANIFA ngắn tay cổ tròn form thường chất cotton 779,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,99000,https://picsum.photos/seed/shopee_17/400/400
18,2,Áo phông nam nữ tay ngắn cổ tròn form rộng vải dạ quang 598,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,120000,https://picsum.photos/seed/shopee_18/400/400
19,3,Quần Jean Nam Ống Rộng Cao Cấp Trẻ Trung 540,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,185000,https://picsum.photos/seed/shopee_19/400/400
20,4,Giày Thể Thao Sneaker Nam Nữ 777,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,250000,https://picsum.photos/seed/shopee_20/400/400
21,5,Tai nghe không dây Bluetooth 5.0 659,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,310000,https://picsum.photos/seed/shopee_21/400/400
22,6,Ốp lưng iPhone 13 14 15 Pro Max 483,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,55000,https://picsum.photos/seed/shopee_22/400/400
23,7,Balo thời trang nam nữ Unisex 189,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,150000,https://picsum.photos/seed/shopee_23/400/400
24,8,Đồng hồ nam nữ dây da chống nước 763,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,450000,https://picsum.photos/seed/shopee_24/400/400
25,1,Áo thun nam CANIFA ngắn tay cổ tròn form thường chất cotton 499,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,99000,https://picsum.photos/seed/shopee_25/400/400
26,2,Áo phông nam nữ tay ngắn cổ tròn form rộng vải dạ quang 258,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,120000,https://picsum.photos/seed/shopee_26/400/400
27,3,Quần Jean Nam Ống Rộng Cao Cấp Trẻ Trung 571,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,185000,https://picsum.photos/seed/shopee_27/400/400
28,4,Giày Thể Thao Sneaker Nam Nữ 141,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall. ,250000,https://picsum.photos/seed/shopee_28/400/400
